Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-05-04 00:00:00-05:00,,,,,,,,,,,4770040.8,,
2023-05-04 05:00:00-05:00,99.52,-9.52,71.84,,,1339.06,0.0,34.7,0.0,0.0,,,
2023-05-04 05:10:00-05:00,97.17,-7.17,72.37,,,1339.06,0.0,35.63,0.0,0.0,,,
2023-05-04 05:20:00-05:00,94.82,-4.82,72.88,,,1339.05,0.0,35.97,0.0,0.0,,,
2023-05-04 05:30:00-05:00,92.46,-2.46,73.34,,,1339.05,0.0,36.34,0.0,0.0,,,
2023-05-04 05:40:00-05:00,90.1,-0.1,73.78,32.59,32.4,1339.05,1.06,35.97,358.53,0.0,,,
2023-05-04 05:50:00-05:00,87.73,2.27,74.19,16.91,16.81,1339.04,5.86,38.07,2208.97,0.0,,,
2023-05-04 06:00:00-05:00,85.36,4.64,74.58,10.63,10.57,1339.04,14.6,38.64,5822.68,0.0,,,
2023-05-04 06:10:00-05:00,82.98,7.02,74.93,7.59,7.55,1339.03,31.27,39.29,13022.15,17999.39,,,
2023-05-04 06:20:00-05:00,80.6,9.4,75.27,5.86,5.83,1339.03,80.88,40.45,35329.51,60827.75,,,
2023-05-04 06:30:00-05:00,78.21,11.79,75.57,4.76,4.73,1339.02,117.09,42.11,51680.08,92852.92,,,
2023-05-04 06:40:00-05:00,75.82,14.18,75.86,4.01,3.98,1339.02,169.74,44.92,75183.21,139197.44,,,
2023-05-04 06:50:00-05:00,73.43,16.57,76.12,3.46,3.44,1339.01,199.39,43.18,89754.26,167533.84,,,
2023-05-04 07:00:00-05:00,71.04,18.96,76.35,3.05,3.03,1339.01,234.62,43.39,106225.96,199916.39,,,
2023-05-04 07:10:00-05:00,68.65,21.35,76.56,2.72,2.71,1339.0,330.06,46.75,148850.21,284244.37,,,
2023-05-04 07:20:00-05:00,66.25,23.75,76.75,2.47,2.45,1339.0,360.5,48.57,161590.4,309583.71,,,
2023-05-04 07:30:00-05:00,63.85,26.15,76.91,2.26,2.24,1339.0,332.73,50.24,147499.5,282044.52,,,
2023-05-04 07:40:00-05:00,61.45,28.55,77.05,2.08,2.07,1338.99,328.98,49.93,146002.81,279056.67,,,
2023-05-04 07:50:00-05:00,59.05,30.95,77.16,1.94,1.93,1338.99,342.14,48.79,152924.28,292539.31,,,
2023-05-04 08:00:00-05:00,56.64,33.36,77.23,1.81,1.8,1338.98,379.21,51.19,168025.47,322609.01,,,
2023-05-04 08:10:00-05:00,54.24,35.76,77.28,1.71,1.7,1338.98,402.22,50.29,179355.34,344824.3,,,
2023-05-04 08:20:00-05:00,51.84,38.16,77.3,1.61,1.61,1338.97,500.4,51.42,223146.05,431348.69,,,
2023-05-04 08:30:00-05:00,49.43,40.57,77.28,1.53,1.53,1338.97,591.85,55.26,259764.7,504118.41,,,
2023-05-04 08:40:00-05:00,47.03,42.97,77.21,1.46,1.46,1338.96,603.21,57.59,261738.14,508305.68,,,
2023-05-04 08:50:00-05:00,44.63,45.37,77.1,1.4,1.39,1338.96,685.24,62.22,290827.86,566323.86,,,
2023-05-04 09:00:00-05:00,42.23,47.77,76.94,1.35,1.34,1338.95,691.07,63.61,291215.58,567260.44,,,
2023-05-04 09:10:00-05:00,39.83,50.17,76.72,1.3,1.29,1338.95,772.17,64.43,324271.5,632653.83,,,
2023-05-04 09:20:00-05:00,37.43,52.57,76.42,1.26,1.25,1338.95,788.2,61.98,335242.87,654035.64,,,
2023-05-04 09:30:00-05:00,35.04,54.96,76.05,1.22,1.21,1338.94,809.69,61.75,344809.71,672912.27,,,
2023-05-04 09:40:00-05:00,32.65,57.35,75.57,1.19,1.18,1338.94,847.26,64.91,354939.21,693308.98,,,
2023-05-04 09:50:00-05:00,30.27,59.73,74.96,1.16,1.15,1338.93,869.36,66.99,360211.9,703977.33,,,
2023-05-04 10:00:00-05:00,27.89,62.11,74.21,1.13,1.12,1338.93,877.41,67.36,362840.93,709215.99,,,
