Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-04-05 00:00:00-05:00,,,,,,,,,,,"5210338.5",,
2023-04-05 05:00:00-05:00,"103.07","-13.07","81.38",,,"1360.36","0.0","34.7","0.0","0.0",,,
2023-04-05 05:10:00-05:00,"100.63","-10.63","81.88",,,"1360.35","0.0","35.63","0.0","0.0",,,
2023-04-05 05:20:00-05:00,"98.19","-8.19","82.36",,,"1360.35","0.0","35.97","0.0","0.0",,,
2023-04-05 05:30:00-05:00,"95.75","-5.75","82.82",,,"1360.34","0.0","36.34","0.0","0.0",,,
2023-04-05 05:40:00-05:00,"93.3","-3.3","83.27",,,"1360.34","0.0","35.94","0.0","0.0",,,
2023-04-05 05:50:00-05:00,"90.85","-0.85","83.7",,,"1360.33","0.0","37.88","0.0","0.0",,,
2023-04-05 06:00:00-05:00,"88.4","1.6","84.12","19.95","19.83","1360.33","6.15","38.38","2319.95","0.0",,,
2023-04-05 06:10:00-05:00,"85.95","4.05","84.53","11.77","11.7","1360.32","20.14","38.94","8182.77","9058.59",,,
2023-04-05 06:20:00-05:00,"83.5","6.5","84.93","8.1","8.05","1360.32","38.03","39.11","16037.99","23632.36",,,
2023-04-05 06:30:00-05:00,"81.04","8.96","85.33","6.12","6.08","1360.31","59.52","40.31","25585.48","42005.71",,,
2023-04-05 06:40:00-05:00,"78.58","11.42","85.72","4.9","4.87","1360.31","84.35","42.25","36569.6","63485.99",,,
2023-04-05 06:50:00-05:00,"76.12","13.88","86.1","4.09","4.06","1360.3","112.19","40.45","49842.23","89037.05",,,
2023-04-05 07:00:00-05:00,"73.67","16.33","86.48","3.51","3.48","1360.29","142.69","40.51","64125.08","116939.45",,,
2023-04-05 07:10:00-05:00,"71.21","18.79","86.86","3.07","3.05","1360.29","175.52","41.92","79065.93","146394.81",,,
2023-04-05 07:20:00-05:00,"68.74","21.26","87.23","2.74","2.72","1360.28","210.29","43.87","94547.47","177039.04",,,
2023-04-05 07:30:00-05:00,"66.28","23.72","87.61","2.47","2.46","1360.28","246.64","47.55","109574.56","207060.03",,,
2023-04-05 07:40:00-05:00,"63.82","26.18","87.99","2.26","2.24","1360.27","284.19","48.53","126336.87","240158.44",,,
2023-04-05 07:50:00-05:00,"61.36","28.64","88.37","2.08","2.07","1360.27","322.56","48.18","144321.25","275513.95",,,
2023-04-05 08:00:00-05:00,"58.89","31.11","88.76","1.93","1.92","1360.26","361.4","50.64","160335.06","307381.76",,,
2023-04-05 08:10:00-05:00,"56.43","33.57","89.15","1.8","1.79","1360.26","400.35","50.23","178547.21","343223.46",,,
2023-04-05 08:20:00-05:00,"53.96","36.04","89.55","1.7","1.69","1360.25","439.07","49.51","197036.98","379590.38",,,
2023-04-05 08:30:00-05:00,"51.5","38.5","89.97","1.6","1.59","1360.25","477.26","51.68","212323.96","410027.14",,,
