Unnamed: 0,"Zenith, degree","Elevation, degree","Azimuth, degree","Airmass Relative, ad","Airmass Absolute, ad","Extraterrestrial Radiation, W/m2","POA, W/m2","Tmod, C","Pdc, W","Pac, W","Daily Energy, Wh","Weekly Energy, Wh","Monthly Energy, Wh"
2023-03-04 00:00:00-05:00,,,,,,,,,,,5498737.73,,
2023-03-04 05:00:00-05:00,107.45,-17.45,93.76,,,1384.59,0.0,34.59,0.0,0.0,,,
2023-03-04 05:10:00-05:00,105.0,-15.0,94.13,,,1384.59,0.0,34.76,0.0,0.0,,,
2023-03-04 05:20:00-05:00,102.54,-12.54,94.51,,,1384.58,0.0,35.12,0.0,0.0,,,
2023-03-04 05:30:00-05:00,100.08,-10.08,94.89,,,1384.58,0.0,35.28,0.0,0.0,,,
2023-03-04 05:40:00-05:00,97.63,-7.63,95.28,,,1384.58,0.0,36.15,0.0,0.0,,,
2023-03-04 05:50:00-05:00,95.18,-5.18,95.67,,,1384.57,0.0,36.58,0.0,0.0,,,
2023-03-04 06:00:00-05:00,92.72,-2.72,96.08,,,1384.57,0.0,36.57,0.0,0.0,,,
2023-03-04 06:10:00-05:00,90.27,-0.27,96.5,34.48,34.28,1384.56,15.1,37.42,6081.2,0.0,,,
2023-03-04 06:20:00-05:00,87.83,2.17,96.92,17.31,17.2,1384.56,59.49,38.49,25826.37,42207.58,,,
2023-03-04 06:30:00-05:00,85.38,4.62,97.36,10.68,10.61,1384.55,116.29,40.95,51622.03,92577.38,,,
2023-03-04 06:40:00-05:00,82.94,7.06,97.82,7.55,7.51,1384.55,149.17,43.43,66174.93,121354.49,,,
2023-03-04 06:50:00-05:00,80.5,9.5,98.29,5.8,5.77,1384.54,191.4,44.31,85509.04,159358.09,,,
2023-03-04 07:00:00-05:00,78.06,11.94,98.78,4.7,4.68,1384.54,249.3,46.43,111432.39,210562.48,,,
2023-03-04 07:10:00-05:00,75.63,14.37,99.3,3.95,3.93,1384.53,304.6,48.64,135689.33,258579.51,,,
2023-03-04 07:20:00-05:00,73.2,16.8,99.83,3.41,3.39,1384.53,352.53,49.88,156865.79,300447.21,,,
2023-03-04 07:30:00-05:00,70.77,19.23,100.4,3.01,2.99,1384.52,398.29,51.68,176315.9,339013.6,,,
2023-03-04 07:40:00-05:00,68.35,21.65,100.99,2.69,2.67,1384.52,440.49,54.62,192686.89,371670.87,,,
2023-03-04 07:50:00-05:00,65.93,24.07,101.62,2.44,2.42,1384.51,484.85,57.2,209841.77,405836.7,,,
2023-03-04 08:00:00-05:00,63.52,26.48,102.28,2.23,2.22,1384.51,525.68,59.0,225853.7,437655.05,,,
2023-03-04 08:10:00-05:00,61.12,28.88,102.99,2.06,2.05,1384.5,567.86,60.48,242508.4,470708.05,,,
2023-03-04 08:20:00-05:00,58.72,31.28,103.74,1.92,1.91,1384.5,603.52,59.56,259245.92,503632.14,,,
2023-03-04 08:30:00-05:00,56.33,33.67,104.54,1.8,1.79,1384.49,638.63,59.55,274574.96,533897.14,,,
2023-03-04 08:40:00-05:00,53.95,36.05,105.41,1.69,1.68,1384.49,674.51,61.14,287838.85,560287.02,,,
2023-03-04 08:50:00-05:00,51.58,38.42,106.34,1.61,1.6,1384.48,712.49,62.56,301988.2,588407.24,,,
2023-03-04 09:00:00-05:00,49.22,40.78,107.36,1.53,1.52,1384.48,749.21,64.67,314187.85,612762.72,,,
2023-03-04 09:10:00-05:00,46.87,43.13,108.46,1.46,1.45,1384.48,774.87,66.72,321504.65,627465.87,,,
2023-03-04 09:20:00-05:00,44.54,45.46,109.67,1.4,1.39,1384.47,797.68,67.64,329393.93,643161.99,,,
2023-03-04 09:30:00-05:00,42.23,47.77,111.0,1.35,1.34,1384.47,843.49,68.11,347469.3,678929.81,,,
2023-03-04 09:40:00-05:00,39.94,50.06,112.46,1.3,1.3,1384.46,867.14,68.42,356587.54,696985.09,,,
2023-03-04 09:50:00-05:00,37.67,52.33,114.1,1.26,1.25,1384.46,881.86,67.67,364077.49,711696.44,,,
2023-03-04 10:00:00-05:00,35.44,54.56,115.92,1.23,1.22,1384.45,896.6,68.06,369354.76,722172.64,,,
2023-03-04 10:10:00-05:00,33.24,56.76,117.98,1.19,1.19,1384.45,916.59,70.55,372553.5,728788.55,,,
2023-03-04 10:20:00-05:00,31.09,58.91,120.31,1.17,1.16,1384.44,938.2,71.26,379817.16,743227.09,,,
2023-03-04 10:30:00-05:00,28.99,61.01,122.96,1.14,1.14,1384.44,965.18,72.26,388516.57,760538.38,,,
2023-03-04 10:40:00-05:00,26.96,63.04,126.01,1.12,1.11,1384.43,986.36,71.31,399003.71,781154.49,,,
2023-03-04 10:50:00-05:00,25.01,64.99,129.53,1.1,1.1,1384.43,1001.84,69.51,409096.99,800897.64,,,
2023-03-04 11:00:00-05:00,23.16,66.84,133.61,1.09,1.08,1384.42,1008.71,68.6,413865.6,810218.69,,,
2023-03-04 11:10:00-05:00,21.44,68.56,138.35,1.07,1.07,1384.42,1023.07,68.22,420503.03,823297.59,,,
2023-03-04 11:20:00-05:00,19.89,70.11,143.86,1.06,1.06,1384.41,1027.09,67.9,422854.32,827908.72,,,
